"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: logPermutations","Param: seed","Param: size"
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,203.525117,0.833313,"ops/us",7,1,8
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,125.797177,0.788705,"ops/us",7,1,16
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,92.494143,0.405508,"ops/us",7,1,32
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,16.437681,0.180969,"ops/us",7,1,256
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,4.870699,0.032452,"ops/us",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,212.681504,0.406794,"ops/us",8,1,8
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,135.569947,1.677812,"ops/us",8,1,16
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,89.299960,0.543932,"ops/us",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,15.867515,0.045508,"ops/us",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,5.005050,0.023990,"ops/us",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,210.991597,2.930586,"ops/us",9,1,8
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,126.467163,1.853711,"ops/us",9,1,16
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,85.299098,1.274282,"ops/us",9,1,32
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,15.950798,0.042173,"ops/us",9,1,256
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,4.870832,0.033689,"ops/us",9,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,181.728757,4.620397,"ops/us",10,1,8
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,130.366935,1.330495,"ops/us",10,1,16
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,72.512331,1.197810,"ops/us",10,1,32
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,15.977222,0.287640,"ops/us",10,1,256
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,4.860844,0.059110,"ops/us",10,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,93.899531,0.568867,"ops/us",11,1,8
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,97.183328,1.020197,"ops/us",11,1,16
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,54.807852,4.060327,"ops/us",11,1,32
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,15.894047,0.055748,"ops/us",11,1,256
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,4.854225,0.032195,"ops/us",11,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,73.375719,0.457562,"ops/us",12,1,8
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,69.257306,0.366118,"ops/us",12,1,16
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,46.361665,0.344936,"ops/us",12,1,32
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,15.174659,0.694082,"ops/us",12,1,256
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,4.791362,0.442246,"ops/us",12,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,65.375785,0.241582,"ops/us",13,1,8
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,54.881079,0.149390,"ops/us",13,1,16
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,42.103450,6.527367,"ops/us",13,1,32
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,16.014314,0.458847,"ops/us",13,1,256
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,4.788294,0.030409,"ops/us",13,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,64.572557,0.229874,"ops/us",14,1,8
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,53.439846,0.150840,"ops/us",14,1,16
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,43.150094,0.331662,"ops/us",14,1,32
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,15.879477,0.421319,"ops/us",14,1,256
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,4.722052,0.012467,"ops/us",14,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,64.452582,0.097284,"ops/us",15,1,8
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,54.364268,0.400797,"ops/us",15,1,16
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,42.059944,0.183533,"ops/us",15,1,32
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,15.669168,0.329528,"ops/us",15,1,256
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,4.715406,0.017698,"ops/us",15,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,208.115125,0.503634,"ops/us",7,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,126.136171,0.446792,"ops/us",7,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.886523,0.471291,"ops/us",7,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.589835,0.104110,"ops/us",7,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.685885,0.023211,"ops/us",7,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,207.831086,0.468326,"ops/us",8,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,126.300177,0.170441,"ops/us",8,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.756319,0.363307,"ops/us",8,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.584733,0.179436,"ops/us",8,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.686908,0.018007,"ops/us",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,207.896073,0.283230,"ops/us",9,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,125.644690,0.712709,"ops/us",9,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.561357,0.239828,"ops/us",9,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.566293,0.084768,"ops/us",9,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.689026,0.015377,"ops/us",9,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,206.447439,6.830101,"ops/us",10,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,125.588908,0.407656,"ops/us",10,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.512287,0.191074,"ops/us",10,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.547456,0.099033,"ops/us",10,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.677304,0.016011,"ops/us",10,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,207.470818,0.472932,"ops/us",11,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,125.431721,0.322048,"ops/us",11,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.561681,0.166030,"ops/us",11,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.476837,0.118391,"ops/us",11,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.532633,0.693133,"ops/us",11,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,207.150477,0.981677,"ops/us",12,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,125.711988,0.259621,"ops/us",12,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.556178,0.140323,"ops/us",12,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.490435,0.054151,"ops/us",12,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.634759,0.018494,"ops/us",12,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,207.073847,0.884772,"ops/us",13,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,125.455782,0.944605,"ops/us",13,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.565027,0.107424,"ops/us",13,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.498262,0.072781,"ops/us",13,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.362525,0.028490,"ops/us",13,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,207.314399,0.965823,"ops/us",14,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,125.528509,0.388808,"ops/us",14,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.613396,0.144045,"ops/us",14,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,25.316906,0.174226,"ops/us",14,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.262582,0.034729,"ops/us",14,1,1024
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,207.343178,0.414992,"ops/us",15,1,8
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,125.228965,0.564460,"ops/us",15,1,16
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,81.502960,0.310112,"ops/us",15,1,32
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,24.713029,0.058180,"ops/us",15,1,256
"com.openkappa.runtime.findbyte.FindByte.swar","thrpt",1,5,7.238570,0.025262,"ops/us",15,1,1024
